[2026-05-21 15:56:53] Method-aligned SEQUENCE simulation started.
[2026-05-21 15:56:53] Repository root: /root/REAPER98632
[2026-05-21 15:56:53] Output directory: /root/REAPER98632/exports/manuscript_final_clean/simulation_validation
[2026-05-21 15:56:53] Simulation started: 320 planned runs
[2026-05-21 16:08:14] Simulation progress: 80/320 | profile=fixed | LFC=1 | DE=0.1 | null_inflation=0 | rep=20 | timeout=240 sec | elapsed=11.4 min | ETA=34.1 min
[2026-05-21 16:08:20] Simulation progress: 81/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=1 | timeout=240 sec | elapsed=11.5 min | ETA=33.8 min
[2026-05-21 16:08:27] Simulation progress: 82/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=2 | timeout=240 sec | elapsed=11.6 min | ETA=33.6 min
[2026-05-21 16:08:33] Simulation progress: 83/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=3 | timeout=240 sec | elapsed=11.7 min | ETA=33.4 min
[2026-05-21 16:08:41] Simulation progress: 84/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=4 | timeout=240 sec | elapsed=11.8 min | ETA=33.1 min
[2026-05-21 16:08:47] Simulation progress: 85/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=5 | timeout=240 sec | elapsed=11.9 min | ETA=32.9 min
[2026-05-21 16:08:54] Simulation progress: 86/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=6 | timeout=240 sec | elapsed=12 min | ETA=32.7 min
[2026-05-21 16:09:02] Simulation progress: 87/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=7 | timeout=240 sec | elapsed=12.2 min | ETA=32.5 min
[2026-05-21 16:09:15] Simulation progress: 88/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=8 | timeout=240 sec | elapsed=12.4 min | ETA=32.6 min
[2026-05-21 16:09:25] Simulation progress: 89/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=9 | timeout=240 sec | elapsed=12.5 min | ETA=32.6 min
[2026-05-21 16:09:33] Simulation progress: 90/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=10 | timeout=240 sec | elapsed=12.7 min | ETA=32.4 min
[2026-05-21 16:09:40] Simulation progress: 91/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=11 | timeout=240 sec | elapsed=12.8 min | ETA=32.2 min
[2026-05-21 16:09:47] Simulation progress: 92/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=12 | timeout=240 sec | elapsed=12.9 min | ETA=32 min
[2026-05-21 16:09:54] Simulation progress: 93/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=13 | timeout=240 sec | elapsed=13 min | ETA=31.8 min
[2026-05-21 16:10:05] Simulation progress: 94/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=14 | timeout=240 sec | elapsed=13.2 min | ETA=31.8 min
[2026-05-21 16:10:18] Simulation progress: 95/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=15 | timeout=240 sec | elapsed=13.4 min | ETA=31.8 min
[2026-05-21 16:10:30] Simulation progress: 96/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=16 | timeout=240 sec | elapsed=13.6 min | ETA=31.8 min
[2026-05-21 16:10:41] Simulation progress: 97/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=17 | timeout=240 sec | elapsed=13.8 min | ETA=31.8 min
[2026-05-21 16:10:50] Simulation progress: 98/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=18 | timeout=240 sec | elapsed=14 min | ETA=31.6 min
[2026-05-21 16:10:58] Simulation progress: 99/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=19 | timeout=240 sec | elapsed=14.1 min | ETA=31.5 min
[2026-05-21 16:11:07] Simulation progress: 100/320 | profile=fixed | LFC=2 | DE=0.05 | null_inflation=0 | rep=20 | timeout=240 sec | elapsed=14.2 min | ETA=31.3 min
[2026-05-21 16:11:15] Simulation progress: 101/320 | profile=fixed | LFC=2 | DE=0.1 | null_inflation=0 | rep=1 | timeout=240 sec | elapsed=14.4 min | ETA=31.2 min
