"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
19948,"398047",0.00485179975344583,24.2,141.2,24.2,117,0.199781435694283,4.83471074380165,3.22684399451738,4.77068462446566,1.54384062994829,1.7638246918965,0.283182886265333,141.2,4.95723451736914,3.57794789340665,0,0
19949,"486489",0.00485192901866406,110.2,2717.2,110.2,2607,0.214673205951232,23.6569872958258,4.71133038181648,7.86633892304654,3.15500854123006,3.20506032059833,0.427828985587851,2717.2,7.90772517552125,3.60549784517489,0,0
19950,"195136",0.00485217142616256,4.6,18.3,4.6,13.7,0.647448015122874,2.97826086956522,1.7227665977411,2.68784749378469,0.965080896043587,1.38084475635233,0.219630239563028,18.3,2.96010509591084,3.60549784517489,0,0
19951,"511719",0.00485309479081415,59.8,592.7,59.8,532.9,0.149019585910672,8.9113712374582,4.10758978897212,6.28020855550614,2.17261876653402,2.29368270783721,0.343563659665144,592.7,6.38637414127663,3.60549784517489,0,0
19952,"402365",0.00485352549252226,13.4,64.8,13.4,51.4,0.286255290710626,3.83582089552239,2.66722820658195,3.958906591327,1.29167838474504,1.57605089640136,0.256362116332636,64.8,4.18661983833127,3.64283551561253,0,0
19953,"164277",0.00485383536657982,23.2,381.7,23.2,358.5,0.666059750297265,15.4525862068966,3.18635263316264,5.8847141771611,2.69836154399846,2.80048268107892,0.368280840878751,381.7,5.94725139243166,3.64283551561253,0,0
19954,"305267",0.004854596210084,32.6,231.3,32.6,198.7,0.186966013022696,6.09509202453988,3.51452606696916,5.29681624042177,1.78229017345261,1.95940328086473,0.305104327410135,231.3,5.44802963977636,3.64283551561253,0,0
19955,"446071",0.0048552354711099,5.6,43.3,5.6,37.7,1.20216836734694,6.73214285714286,1.88706964903238,3.65583960003574,1.76876995100336,2.04538603726734,0.280075963877281,43.3,3.79098467705109,3.64283551561253,0,0
19956,"436918",0.00485556425420103,183,15249,183,15066,0.449879064767536,82.327868852459,5.21493575760899,9.62026220080129,4.4053264431923,4.42278305327359,0.532669661392563,15249,9.63233478203556,3.60549784517489,0,0
19957,"573414",0.00485607071346631,4.2,6.2,4.2,2,0.113378684807256,0.476190476190476,1.64865862558738,1.09861228866811,-0.550046336919272,0.389464766761723,0.1190574345368,6.2,1.97408102602201,3.60549784517489,0,0
19958,"8271",0.00485608298267248,186,8352.5,186,8166.5,0.236053300959649,43.9059139784946,5.23110861685459,9.00791814347522,3.77680952662064,3.80456950051771,0.484308329457418,8352.5,9.03043589169783,3.79098467705109,0,0
19959,"381674",0.00485661902930241,10.2,24.7,10.2,14.5,0.139369473279508,1.42156862745098,2.41591377830105,2.7408400239252,0.324926245624152,0.884415523343706,0.186614213772724,24.7,3.24649099190117,3.98898404656427,0,0
19960,"558524",0.00485741091024001,108,2809,108,2701,0.231567215363512,25.0092592592593,4.69134788222914,7.90174751852014,3.210399636291,3.25845259998002,0.431737748099814,2809,7.94093976232779,3.98898404656427,0,0
19961,"77083",0.00485909019948011,3,3.5,3,0.5,0.0555555555555556,0.166666666666667,1.38629436111989,0.405465108108164,-0.980829253011726,0.154150679827258,0.0880504702199577,3.5,1.50407739677627,4.07414185490458,0,0
19962,"171458",0.00485930013586484,9.2,88.7,9.2,79.5,0.939272211720227,8.64130434782609,2.32238772029023,4.38825718442452,2.06586946413429,2.26605640526054,0.307863860397154,88.7,4.49647076906475,4.11414718951828,0,0
