"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","nb_gap","log_alpha_mu"
"159257","Ablim2",288,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"159292","Dok7",289,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"160652","Tmed4",290,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"160709","Purb",291,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"160887","Hus1",292,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"161185","-",293,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"161251","-",294,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"161771","B3gnt2",295,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"161865","Ahsa2",296,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"162126","Fancl",297,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"162604","Sptbn1",298,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"163439","-",299,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"163463","Zfp326",300,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"164178","-",301,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
"164319","Rasgef1b",302,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA
