"feature_id","rank_trt","iod_fitted_trt","cv2_fitted_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_fitted_ctrl","cv2_fitted_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod","composite_cv2","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"380831",1196,1.06424001185098,0.0562911459998077,1,3080,3080,943,1.20829835628797,0.496337179874104,1,2737,2737,1070,2.27253836813895,0.552628325873911,1.71991004226504,1,3080,3080
"429099",1148,1.07202284262974,0.0590670419723551,1,3032,3032,1017,1.19701051364825,0.493025043289038,1,2811,2811,1082,2.26903335627799,0.552092085261393,1.71694127101659,1,3032,3032
"60569",917,1.10707165655936,0.0577383723083358,1,2801,2801,1255,1.15788217113806,0.471076297191217,1,3049,3049,1086,2.26495382769741,0.528814669499553,1.73613915819786,1,3049,3049
"197043",229,1.45999146096142,0.155354536362577,1,2113,2113,1952,1.03450090475707,0.441727915131003,158,3746,3589,1090,2.49449236571849,0.59708245149358,1.89740991422491,1,3746,3589
"412817",669,1.17994143366917,0.0828412729181593,1,2553,2553,1514,1.11471415346335,0.45978178925364,1,3308,3308,1092,2.29465558713252,0.542623062171799,1.75203252496073,1,3308,3308
"240525",1333,1.03454869122601,0.0386622081784367,1,3217,3217,854,1.21211737550379,0.494533418486839,1,2648,2648,1094,2.2466660667298,0.533195626665275,1.71347044006453,1,3217,3217
"557257",562,1.22063807523841,0.0912958171643368,1,2446,2446,1628,1.0979006518757,0.459652891113551,1,3422,3422,1095,2.31853872711412,0.550948708277888,1.76759001883623,1,3422,3422
"401412",982,1.10068139694329,0.0634602704536178,1,2866,2866,1210,1.16623457991022,0.471537430894827,1,3004,3004,1096,2.26691597685351,0.534997701348445,1.73191827550507,1,3004,3004
"245499",281,1.40291087683386,0.139248790893674,1,2165,2165,1930,1.03958664544739,0.43885797247983,136,3724,3589,1106,2.44249752228124,0.578106763373505,1.86439075890774,1,3724,3589
"127373",810,1.14107083490575,0.0757061789030899,1,2694,2694,1416,1.13155890988662,0.467434239486593,1,3210,3210,1113,2.27262974479237,0.543140418389683,1.72948932640269,1,3210,3210
"308516",1774,0.960735187202346,0.00256556195380142,1,3658,3658,469,1.28209254263584,0.5068321487652,1,2263,2263,1122,2.24282772983818,0.509397710719001,1.73343001911918,1,3658,3658
"255977",1573,0.992540858997387,0.0143687535078669,1,3457,3457,741,1.22165190004739,0.500455639060817,1,2535,2535,1157,2.21419275904478,0.514824392568684,1.69936836647609,1,3457,3457
"309990",777,1.14841297382958,0.0749373980279131,1,2661,2661,1543,1.10865598166936,0.45895775549576,1,3337,3337,1160,2.25706895549894,0.533895153523673,1.72317380197526,1,3337,3337
"482294",1187,1.06545295907421,0.0564358585917262,1,3071,3071,1134,1.1767468530112,0.483074500843315,1,2928,2928,1160,2.2421998120854,0.539510359435042,1.70268945265036,1,3071,3071
"358701",2073,0.913281775983762,-0.0154483548041706,189,3957,3769,249,1.42602228125099,0.550667198040571,1,2043,2043,1161,2.33930405723476,0.535218843236401,1.80408521399836,1,3957,3769
"276627",1263,1.04809728882111,0.0467826230998298,1,3147,3147,1072,1.18678659928889,0.491886411040241,1,2866,2866,1168,2.23488388811001,0.538669034140071,1.69621485396993,1,3147,3147
"97566",648,1.18775981338092,0.0835529554076686,1,2532,2532,1688,1.0878514146919,0.453048363423775,1,3482,3482,1168,2.27561122807282,0.536601318831444,1.73900990924137,1,3482,3482
"3452",607,1.20241529072342,0.0861282344531702,1,2491,2491,1740,1.08113657507863,0.447018963519838,1,3534,3534,1174,2.28355186580205,0.533147197973008,1.75040466782905,1,3534,3534
"230793",164,1.5479156095333,0.18107022703559,1,2048,2048,2191,1.00925929844082,0.429747212144164,397,3985,3589,1178,2.55717490797412,0.610817439179755,1.94635746879436,1,3985,3589
"323047",467,1.26287390767959,0.101343164334757,1,2351,2351,1907,1.04415404163312,0.440881527732252,113,3701,3589,1187,2.30702794931271,0.542224692067009,1.7648032572457,1,3701,3589
"486878",1410,1.02086969191868,0.0292396063966862,1,3294,3294,1030,1.19536921128429,0.49212855759356,1,2824,2824,1220,2.21623890320296,0.521368163990246,1.69487073921272,1,3294,3294
"95969",198,1.50054768724191,0.167236071863286,1,2082,2082,2245,1.00484633822564,0.42058691211043,451,4039,3589,1222,2.50539402546755,0.587822983973716,1.91757104149383,1,4039,3589
"163094",12,1.83719492859955,0.24692016811863,1,1896,1896,2437,0.987248734160024,0.403370794821555,643,4231,3589,1224,2.82444366275958,0.650290962940185,2.17415269981939,1,4231,3589
"109076",240,1.44769759201208,0.151881055645519,1,2124,2124,2211,1.00724684046787,0.425939757861727,417,4005,3589,1226,2.45494443247995,0.577820813507246,1.8771236189727,1,4005,3589
"551851",896,1.1122896779052,0.0586429068454493,1,2780,2780,1557,1.10680414749487,0.458155044828942,1,3351,3351,1226,2.21909382540007,0.516797951674391,1.70229587372567,1,3351,3351
"194123",1729,0.96941897343379,0.00544922296797523,1,3613,3613,738,1.22220885658874,0.499884535477491,1,2532,2532,1234,2.19162783002253,0.505333758445467,1.68629407157706,1,3613,3613
"517003",1677,0.976355139552851,0.00897047308757593,1,3561,3561,793,1.21922789723931,0.503691718448749,1,2587,2587,1235,2.19558303679216,0.512662191536325,1.68292084525583,1,3561,3561
