"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw"
"RT0_ZT6","436390","Rcc2",-0.000581371077438285,-1.06378401885965e-05,-0.000467867842434101,-6.12932338426168e-05
"RT0_ZT6","436393","Padi4",0.000158156089692614,-8.23163694337035e-05,0.000160392620145567,4.62310675121976e-05
"RT0_ZT6","436418","Padi2",0.00118132428089839,0.00439090858384682,0.00153619352468512,-0.00381461879260231
"RT0_ZT6","436433","Sdhb",-0.0027137764071076,0.00546028186722232,-0.0019073589344628,-0.00216757978131728
"RT0_ZT6","436449","Atp13a2",-1.40966625167183e-05,0,-5.52896397389228e-06,0
"RT0_ZT6","436460","Mfap2",0.00306437340751537,-0.00201593776790882,0.00349595418582364,-0.002270687986604
"RT0_ZT6","436462","Atp13a2",0.00032220317559337,0.000815603859942644,0.000365976786002214,-0.000498833444031042
"RT0_ZT6","436463","Mfap2",6.32448860327135e-05,4.31087353927192e-05,9.27016666695284e-05,-0.000155171221164734
"RT0_ZT6","436469","Rps21-ps1",0.00758928308890987,0.0309261346220823,0.0128980316372518,-0.0307563094868433
"RT0_ZT6","436506","Fbxo42",-0.000628109828663686,0.0001717571463245,-0.00047449625307599,-0.000242334819518245
"RT0_ZT6","436516","LOC120103024",0.000637543058608781,8.41200952433907e-05,0.000697013877764211,-0.000283089024250467
"RT0_ZT6","43652","Cyfip1",-2.49845071587998e-06,-0.000269401349049639,0.000131971697616028,-0.000360887925889427
"RT0_ZT6","436523","Arhgef19",0.000157863648329238,0.00027226698844234,0.000153312184663086,-7.38250698954216e-05
"RT0_ZT6","436526","-",-0.000301412865064798,8.23261797050874e-05,-0.000224710483315331,-0.000252763391626874
"RT0_ZT6","436533","Fam131c",0.000307287888741477,-0.000806687418387837,0.000383773031663665,-0.000723725293361822
"RT0_ZT6","436540","Zbtb17",NA,NA,NA,NA
