"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
227,"370928",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
228,"370945",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
229,"374487",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
230,"375097",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
231,"375156",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
232,"376936",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
233,"377901",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
234,"383929",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
235,"385795",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
236,"391779",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
237,"392061",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
238,"392588",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
239,"400636",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
240,"401132",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
241,"404651",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
242,"404898",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
243,"406755",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
244,"410116",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
245,"411807",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
246,"412588",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
247,"416490",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
248,"418302",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
249,"418936",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
250,"421074",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
251,"421935",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
252,"423086",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
253,"423527",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
254,"424752",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
255,"424825",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
256,"425959",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
257,"427181",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
258,"427196",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
259,"428485",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
260,"429208",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
261,"430108",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
262,"431138",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
263,"435218",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
264,"438364",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
265,"439280",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
266,"440006",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
267,"440443",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
268,"440885",0,0,0,0,0,0,0,0,0,0,0,0.0851052700612529,0,0,0,0,0
