"feature_id","pc1_loading","pc1_loading_abs","baseMean","dispGeneEst","gene_symbol","rank"
"537534",-0.0113719839302774,0.0113719839302774,6.64171664585907,0.954843793882724,"-",1999
"512517",0.0113631095215748,0.0113631095215748,11.3082703148079,1.37003142858945,"Chst2",2000
"472758",-0.0113627680477806,0.0113627680477806,19.8664111818813,0.840436566677619,"Mgat4c",2001
"483244",-0.011361239674139,0.011361239674139,7.64500295769987,0.875166960820835,"Arsa",2002
"211485",-0.0113611206485,0.0113611206485,9.02051494028235,1.01869164288156,"Csmd1",2003
"369172",-0.0113590181028364,0.0113590181028364,2.68971808184186,1.48685624250391,"Epha1",2004
"505902",-0.0113590181028364,0.0113590181028364,2.68971808184186,1.48685624250391,"Thy1",2005
"566573",-0.0113554315598662,0.0113554315598662,5.62678296392491,0.707868091754744,"Slitrk4",2006
"486540",0.0113386912572779,0.0113386912572779,7.7349443035401,1.44727597873893,"Timm13",2007
"346729",0.0113316473754397,0.0113316473754397,2.77136134023729,2.00008487335633,"Osbpl6",2008
"436340",0.0113316473754397,0.0113316473754397,2.77136134023729,2.00008487335633,"Aldh4a1",2009
"505855",0.0113316473754397,0.0113316473754397,2.77136134023729,2.00008487335633,"Arhgef12",2010
"391998",-0.0113296562946224,0.0113296562946224,5.94016717848623,0.982563259725495,"-",2011
"55621",-0.0113296562946224,0.0113296562946224,5.94016717848623,0.982563259725495,"-",2012
"213335",-0.0113289914001092,0.0113289914001092,2.81647283453243,1.75295303264387,"-",2013
"35867",-0.0113289914001092,0.0113289914001092,2.81647283453243,1.75295303264387,"Oprm1",2014
"480699",-0.0113289914001092,0.0113289914001092,2.81647283453243,1.75295303264387,"Ccdc166",2015
"116220",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"-",2016
"160214",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"Cabp7",2017
"201483",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"Alg11",2018
"325795",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"-",2019
"510329",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"Cgnl1",2020
"546332",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"-",2021
"553522",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"Dis3l2",2022
"94408",-0.0113205770703848,0.0113205770703848,1.90903694399637,5.44039630251967,"Thra",2023
"316709",-0.0113117230814754,0.0113117230814754,2.78623083141688,1.81834331961111,"Trappc10",2024
"276278",0.0113113679771154,0.0113113679771154,2.34320612272783,1.8142920780429,"Trim2",2025
"319465",0.0113113679771154,0.0113113679771154,2.34320612272783,1.8142920780429,"-",2026
"474663",0.0113113679771154,0.0113113679771154,2.34320612272783,1.8142920780429,"Nup107",2027
"172224",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"-",2028
"289432",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"-",2029
"328904",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"-",2030
"364987",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"Fam133b",2031
"377144",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"Ccdc77",2032
"438334",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"Alkbh8",2033
"472798",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"-",2034
"507378",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"Sik2",2035
"539353",-0.0113060181372566,0.0113060181372566,1.97337877704638,5.73885924855457,"-",2036
"17981",-0.0113059474001391,0.0113059474001391,4.79467394826195,0.672738498345435,"Dlg2",2037
"535915",0.0113042184609657,0.0113042184609657,5.48385758983508,3.46208732043681,"-",2038
"234396",-0.0113017958521648,0.0113017958521648,2.49536253712464,1.35598736680551,"Prob1",2039
"339052",-0.0113017958521648,0.0113017958521648,2.49536253712464,1.35598736680551,"Bcas1",2040
"348097",-0.0113017958521648,0.0113017958521648,2.49536253712464,1.35598736680551,"Harbi1",2041
"358951",-0.0113017958521648,0.0113017958521648,2.49536253712464,1.35598736680551,"Eya2",2042
"45323",-0.0113017958521648,0.0113017958521648,2.49536253712464,1.35598736680551,"Mctp2",2043
"465134",-0.0113017958521648,0.0113017958521648,2.49536253712464,1.35598736680551,"-",2044
"518567",-0.0113017958521648,0.0113017958521648,2.49536253712464,1.35598736680551,"-",2045
"386181",-0.0112963307691956,0.0112963307691956,5.50002821123434,0.635609302766319,"Tspan33",2046
"12279",0.0112915145674344,0.0112915145674344,13.1110372839868,2.83739514912789,"-",2047
