"percentile","center_rank_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","window_n_trt","center_rank_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_n"
0.555,17430,0.128517637739036,0.356848028576526,159,16601,0.486166572849786,0.557870955455087,151,17016,0.614684210588822,0.914718984031613,-0.300034773442791,159
0.56,17587,0.447797181186167,0.308048788122647,159,16750,0.435174537045773,0.287897951237405,151,17168,0.882971718231939,0.595946739360052,0.287024978871887,159
0.565,17744,0.285678523452521,0.0343362549248656,159,16900,0.213623786563358,0.293221451561692,151,17322,0.499302310015878,0.327557706486558,0.171744603529321,159
0.57,17901,0.273915698869797,0.468555794815552,159,17049,0.299720414410642,0.235814176347249,151,17475,0.573636113280439,0.704369971162801,-0.130733857882362,159
0.575,18058,0.186954465181329,0.218514842702729,159,17199,0.313570632625441,0.31931694118557,151,17628,0.50052509780677,0.537831783888299,-0.0373066860815283,159
0.58,18215,0.180062983125663,0.451884000506576,159,17348,0.31569918400028,0.29891961958065,151,17782,0.495762167125943,0.750803620087225,-0.255041452961283,159
0.585,18373,0.248624558728026,0.161100605867126,159,17498,0.401636444881222,0.136382982347991,151,17936,0.650261003609249,0.297483588215117,0.352777415394132,159
0.59,18530,0.444117920426494,0.312478310059648,159,17647,0.150016921595094,0.1989292168327,151,18088,0.594134842021589,0.511407526892348,0.0827273151292405,159
0.595,18687,0.391881908776464,0.308187712693393,159,17797,0.466640696226626,0.137723128778474,151,18242,0.858522605003089,0.445910841471868,0.412611763531222,159
0.6,18844,0.301699472548457,0.214694929872821,159,17947,0.528692799773288,0.362135154122393,151,18396,0.830392272321745,0.576830083995214,0.253562188326531,159
0.605,19001,0.224721701497063,0.585090539570958,159,18096,0.499820659936702,0.196219741501622,151,18548,0.724542361433766,0.78131028107258,-0.0567679196388146,159
0.61,19158,0.212516390142182,0.414304928298883,159,18246,0.19349185139823,0.171355729688144,151,18702,0.406008241540413,0.585660657987027,-0.179652416446615,159
0.615,19315,0.405616379354796,0.391294524056177,159,18395,0.251670565526143,0.679381265021756,151,18855,0.657286944880939,1.07067578907793,-0.413388844196995,159
0.62,19472,0.334776070998953,0.264028550554274,159,18545,0.270223820882529,0.241479059993448,151,19008,0.604999891881483,0.505507610547722,0.0994922813337609,159
0.625,19629,0.328413304420641,0.3855820647324,159,18694,0.465475529469821,0.306273769920543,151,19162,0.793888833890463,0.691855834652944,0.102032999237519,159
0.63,19786,0.294043538574972,0.280271029495611,159,18844,0.328418400198063,0.658838045447203,151,19315,0.622461938773035,0.939109074942813,-0.316647136169779,159
0.635,19943,0.0446110932840309,0.325604074050115,159,18993,0.391664539004668,0.170065615995414,151,19468,0.436275632288699,0.49566969004553,-0.0593940577568303,159
0.64,20100,0.193208946289001,0.364822790761408,159,19143,0.429145354064764,0.165294934781406,151,19622,0.622354300353765,0.530117725542814,0.0922365748109503,159
0.645,20257,0.591213793630414,0.400683986533034,159,19293,0.42329308350004,0.604639386141049,151,19775,1.01450687713045,1.00532337267408,0.00918350445637151,159
0.65,20414,0.362199911516984,0.373559429578159,159,19442,0.161742043742779,0.15767226755496,151,19928,0.523941955259763,0.531231697133119,-0.00728974187335596,159
0.655,20571,0.203664331057216,0.431460001840161,159,19592,1,0.661417457046133,151,20082,1.20366433105722,1.09287745888629,0.110786872170922,159
0.66,20728,0.226189701222358,0.120979535640482,159,19741,0.211770380227576,0.710713220309359,151,20234,0.437960081449934,0.831692755949841,-0.393732674499907,159
0.665,20885,0.470948287741761,0.43348789811406,159,19891,0.146276241052942,0.304028867154673,151,20388,0.617224528794703,0.737516765268733,-0.120292236474029,159
0.67,21042,0.139794747107525,0.256365160566449,159,20040,0.265141080434499,0.226208944920205,151,20541,0.404935827542023,0.482574105486654,-0.0776382779446303,159
