"percentile","center_rank_trt","iod_amplitude_trt","cv2_amplitude_trt","iod_center_trt","cv2_center_trt","local_fourier_score_trt","center_rank_ctrl","iod_amplitude_ctrl","cv2_amplitude_ctrl","iod_center_ctrl","cv2_center_ctrl","local_fourier_score_ctrl","combined_center_rank","combined_iod_amplitude","combined_cv2_amplitude","combined_center_distance","combined_center_agreement","combined_fourier_score","regime_difference","regime_direction"
0.21,6490,0.0564417175173366,0.155341233678032,5096,6687.5,0.269442468322607,6513,0.0350657559511717,0.113344013339261,7636,6357.5,0.196023789121817,6502,0.0915074734685083,0.268685247017293,156.5,0.00634920634920635,0.33497140031645,-0.177177773548785,"CV2_dominant"
0.22,6799,0.0361251794498157,0.159419530160163,8249.5,6571.5,0.2337397075344,6824,0.0335993388044262,0.0696208980031852,7622,6715.5,0.115355478847533,6812,0.0697245182542419,0.229040428163348,1292.25,0.0007732456988208,0.247800360341925,-0.159315909909106,"CV2_dominant"
0.23,7108,0.0631476366331468,0.133521110118272,7108,7108,1.24930597972568,7134,0.0339246629731901,0.171179581495852,7609.5,7134,0.296545935341233,7121,0.097072299606337,0.304700691614123,237.75,0.00418848167539267,0.39044305008762,-0.207628392007787,"CV2_dominant"
0.24,7417,0.0476913950658305,0.105753155523593,7029.5,6905,0.182969678355428,7444,0.0404528563386932,0.0995820803130963,6872,7254.5,0.18740186905937,7430,0.0881442514045237,0.205335235836689,129,0.00769230769230769,0.242391039915548,-0.117190984432165,"CV2_dominant"
0.25,7726,0.0941292276209185,0.0866834656976227,7726,7476,0.245624211500363,7754,0.0391361518524889,0.0758835032290726,8330.5,9113.5,0.140830402886035,7740,0.133265379473407,0.162566968926695,266.5,0.00373831775700935,0.229979696845713,-0.0293015894532879,"CV2_dominant"
0.26,8035,0.0645089517922966,0.114841439596444,8272.5,8436,0.229651849109805,8064,0.0371255975647838,0.171143539640507,7529,8064,0.304482487855084,8050,0.10163454935708,0.28598497923695,349.25,0.00285510349750178,0.367803642351636,-0.18435042987987,"CV2_dominant"
0.27,8344,0.0578033829978903,0.142462737914487,8229.5,8626,0.254461465421215,8374,0.0400144243240774,0.0651987231178232,7545.5,9307,0.123511506754004,8359,0.0978178073219677,0.20766146103231,1079,0.000925925925925926,0.250146985342424,-0.109843653710342,"CV2_dominant"
0.28,8653,0.0528871444800353,0.173839582458066,8155,8653,0.291751182680606,8684,0.0613149638477709,0.245459824097008,8684,8684,1.49608035687547,8668,0.114202108327806,0.419299406555074,249,0.004,0.572967747989468,-0.305097298227268,"CV2_dominant"
0.29,8962,0.147283934778282,0.148698365380873,8962,8723.5,0.450196942504644,8995,0.0246774210486344,0.152371904597825,7668,10254,0.237833726784362,8978,0.171961355826916,0.301070269978698,1173.75,0.000851244945733135,0.468781801832218,-0.129108914151782,"CV2_dominant"
0.3,9271,0.0706194291553825,0.184431145140799,9426,9271,0.348912143795334,9305,0.0142099528263523,0.126495392025991,9314.5,10216,0.165932664039398,9288,0.0848293819817348,0.310926537166791,373.25,0.00267201068804275,0.383577987442337,-0.226097155185056,"CV2_dominant"
0.31,9580,0.0865415268674585,0.105290213728706,11058.5,9920,0.255297910510029,9615,0.0258410053133627,0.140887556281141,9615,10305.5,0.221604331215033,9598,0.112382532180821,0.246177770009847,224,0.00444444444444444,0.325287261247662,-0.133795237829026,"CV2_dominant"
0.32,9889,0.0756383117868466,0.156087782348534,11243.5,10356.5,0.310673155011283,9925,0.0269410203306197,0.14204124799293,11295,10245,0.225976507171507,9907,0.102579332117466,0.298129030341464,968.5,0.00103145951521403,0.384332834627435,-0.195549698223998,"CV2_dominant"
