"feature_id","gene_symbol","rank","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
"410256","Ttc39b",8994,5.23552951269595,11.0520358790219,4.84491856575856,2.27366971287724,8.402185052527,3.2773112142075,16.8727749437763,6.51312141094441,12.5857822282447,4.87546749069209,1.22283429727632,2.84073939564478,2.02191243551862,2.57124885288132,5.12487383831951,10.3596535328319,7.71031473755259
"476563","Ncald",8994,8.21612718532283,44.3458151565758,11.1895378432633,2.832737776013,24.7493700219282,6.0268025476569,17.0790226386615,4.15965828120275,20.9586353108132,5.10404791506387,2.76886780216443,1.83529566893736,2.30749048586792,8.35680006725027,18.7225674742713,12.9193643574587,15.8545873957493
"482088","St13",8995,28.8709412931245,205.021510773501,13.6402396423559,0.90990180718087,12.3636137824928,0.85707847117692,18.5082688053409,1.28274211410854,14.3637152192164,0.995633111042435,0.358963487794589,0.571795309260399,0.428240807727347,12.7303378351751,11.5065353113159,17.2255266912324,13.368082108174
"60635","Scd2",8995,3004.87521764196,1105113.3328531,634.96376776228,0.367680942624948,443.288855885484,0.295091363290035,224.43811556134,0.149427583949551,363.235061718789,0.241808755282428,0.146857630990674,0.0740257413204318,0.120216326986871,634.596086819655,442.993764522194,224.28868797739,362.993252963507
"170306","Trmt44",8996,3.79052512401275,8.00731450105735,NA,NA,NA,NA,NA,NA,NA,NA,0.965008032464692,3.89729254969602,2.82246434309454,NA,NA,NA,NA
"112112","Sh3bgr",8996,12.8707437942726,24.0093829763418,3.92921733914541,0.664518908958576,5.17756195640361,0.815754022919832,17.40110701623,2.71518505118188,9.8898376253555,1.54800007556037,0.246882542857981,1.19659805698901,0.613005569178249,3.26469843018684,4.36180793348377,14.6859219650481,8.34183754979514
"550029","Ndufb3",8997,477.394101139911,31420.8019117072,131.383908295373,0.549399222461938,127.528656343988,0.534270364098684,49.5446172097471,0.207563188840203,97.2111866559283,0.407258029360285,0.262945553881486,0.0995919662522455,0.199439386512287,130.834509072911,126.994385979889,49.3370540209069,96.803928626568
"484206","Slc38a2",8997,619.296731212035,24801.3683125196,77.3763979045689,0.241628050770242,88.7513977357367,0.286633978440576,59.363819116566,0.191727685098268,78.3236648516035,0.252957931535807,0.140080503195866,0.0926273565247122,0.123242479743481,77.1347698537987,88.4647637572961,59.1720914314677,78.0707069200677
"279540","Cyb561d1",8999,16.9992340085175,48.1151013652452,5.70911647947389,0.677593906647486,5.724963103699,0.673633521516126,17.6867851531566,2.0809701160314,9.35166333583814,1.10032336299039,0.21912535010887,0.922793647366504,0.432470270846002,5.0315225728264,5.05132958218288,15.6058150371252,8.25133997284775
"359875","Gnas",8999,1203.78187503176,147675.707571562,230.882749599192,0.363246290859697,231.141159989129,0.384059106431532,99.8082959792212,0.165858672060573,181.282562380739,0.30122250846884,0.190351063379389,0.0812508461939094,0.148932764398043,230.519503308332,230.757100882698,99.6424373071606,180.98133987227
"425704","-",9000,68.7734133548525,638.015723713058,19.1111242614249,0.57974572453935,19.8829937665989,0.579008303148529,21.2693904953065,0.619326113798821,20.3759840272757,0.59334495554451,0.260027718477887,0.280186623803033,0.267196044675877,18.5313785368855,19.3039854634504,20.6500643815077,19.7826390717312
"405827","Dcaf12",9001,48.2282535647949,145.985821049568,6.3475278155621,0.280542187781377,7.13798129898557,0.297555994656482,19.8477320518802,0.824622592074075,11.2831111007446,0.469452320787802,0.106534674577894,0.37006797328669,0.192482837643554,6.06698562778072,6.84042530432908,19.0231094598062,10.8136587799568
"86945","Fam114a2",9001,23.7050068993622,54.155153495067,4.44062777775042,0.365686823929458,6.32682040169603,0.534662439002641,18.1508028949209,1.53225611559786,10.2174190196953,0.862913650615151,0.182527700585164,0.681324538882772,0.346653306391419,4.07494095382096,5.79215796269339,16.618546779323,9.35450536908016
"290383","-",9002,4.56322571983927,13.0477543531838,5.47403541872301,2.35162406186645,8.57585125554532,3.78148939724843,16.8262537011367,7.39752899385292,12.4486730684093,5.47889471999034,1.44105325032594,3.24907304862818,2.28975591169689,3.12241135685656,4.79436185829688,9.42872470728381,6.96977834841895
"40608","Paf1",9002,235.94989666619,7348.00284768224,59.7989235502111,0.486909285801623,44.0097245565056,0.373081324690955,32.8374611002815,0.278381020820679,40.0721872131416,0.339705278343839,0.17804510682172,0.130694954886582,0.161357083648162,59.3120142644095,43.6366432318147,32.5590800794608,39.7324819347978
"396045","Cntn4",9003,4.2885910859534,14.427858547678,6.64271077310278,3.23417194680234,14.593797141658,6.85965153535439,16.807249874926,7.89190324175647,15.7589300551657,7.40301549342627,2.93658147611857,3.45270732931961,3.20826345515451,3.40853882630045,7.73414560630357,8.91534663316956,8.3559145617394
"437431","Dnajc11",9003,52.1851696478533,364.376641648433,14.0986599994572,0.545565808761122,34.5079604926269,1.32253414465364,20.1215378152276,0.771173565604863,27.8018189729163,1.06552083742617,0.622934843596206,0.34725455407182,0.494428189982471,13.5530941906961,33.1854263479733,19.3503642496227,26.7362981354901
"416767","Cdc42",9004,9.69525984001167,48.2918103203971,10.5591850598667,2.32467389130907,30.3596837746542,6.26695796538401,17.18137382254,3.54845218635821,23.6588394527372,4.88466508566909,2.92510817065632,1.56585528114342,2.23396173079886,8.2345111685576,24.0927258092702,13.6329216361818,18.7741743670681
"200679","LOC120097504",9004,120.684614383563,937.768334789933,14.7178011858275,0.231190287423682,16.7100841914719,0.277054548206713,24.8614772936083,0.412140418825306,19.4056846483715,0.321726364422364,0.121888645595866,0.189431580905162,0.144224553703691,14.4866108984039,16.4330296432652,24.449336874783,19.0839582839492
"75259","-",9006,4.00095864915781,9.51762214336559,4.51302255947726,2.21608154872555,7.45972263598485,3.76757987607808,16.7873466428971,8.43027440748777,11.7495633479135,5.91198629868965,1.36460361496965,3.6959508806745,2.43680682627544,2.29694101075171,3.69214275990677,8.35707223540929,5.83757704922385
"229419","Celf2",9007,2.14817391920398,3.85464258944498,NA,NA,NA,NA,NA,NA,NA,NA,4.99074837937855,6.8240005224265,6.25847920267607,NA,NA,NA,NA
"539340","Mettl21a",9008,5.74357711318695,13.6659068617494,4.90662924155667,1.81187699959892,6.98920580947943,2.4542408353825,16.9079301904758,5.90808995607195,11.2905353123632,3.95202850955097,0.868658278831929,2.59558283917665,1.61755211591616,3.09475224195775,4.53496497409693,10.9998402344039,7.33850680281222
"78496","LOC303590",9009,2.83026705804408,10.3725167550895,NA,NA,NA,NA,NA,NA,NA,NA,5.42567043959528,5.19609573193969,5.24999040414051,NA,NA,NA,NA
"461664","LOC102551114",9009,15.992923270587,76.9067253790103,8.09010433546039,0.861844902907919,6.2067037529595,0.788723572248272,17.6171517128763,2.21566069523217,9.50032108602028,1.20060791350791,0.26303532392331,0.976503885415261,0.468977494553127,7.22825943255247,5.41798018071123,15.4014910176442,8.29971317251238
"186490","Cgrrf1",9010,75.0103362070336,588.945716107166,15.5600058164458,0.41116188597215,21.496497533985,0.57317387626392,21.7009653345586,0.578625599610667,21.5749222015499,0.575264912553864,0.259917479641383,0.262643341314757,0.260962997786355,15.1488439304737,20.923323657721,21.1223397349479,20.999657288996
"442280","Id2",9012,2.74375688993609,37.6410093553587,NA,NA,NA,NA,NA,NA,NA,NA,10,5.35774594729332,10,NA,NA,NA,NA
"301689","Anp32e",9012,8.27320066399275,29.4708758024308,7.44896450640621,1.89054385392746,12.8617508883093,3.11217431549823,17.0829719383348,4.13263090091561,14.7969182129612,3.57999019552982,1.31288377128125,1.82311206398994,1.54679171129705,5.55842065247875,9.74957657281111,12.9503410374192,11.2169280174314
"547440","Dst",9013,3.19493577291767,38.6588212776012,15.9746788645883,10,33.9493577291767,22.5808795664772,16.7315724732478,11.8027065578816,30.2217522344018,20.2474332879183,10,4.6109134957022,8.83327686072051,5.97467886458833,11.3684781626994,4.92886591536618,9.97431894648357
"55984","Sptbn2",9013,173.092473376428,2425.1267449743,25.9427931357381,0.277881124959465,36.5304898622063,0.42227146976101,28.4879312127039,0.329343585692799,33.6730356135183,0.389254964849513,0.199491573426835,0.15302763139273,0.182983320971087,25.6649120107787,36.1082183924453,28.1585876270112,33.2837806486688
"243161","Ankhd1",9014,48.8961523404425,159.171559898917,6.52607196098362,0.267782632846002,6.74291931635039,0.27587103714506,19.8939484816114,0.813787766203665,11.1931890851255,0.457900483461809,0.0969998474180038,0.365958211947306,0.188014570576378,6.25828932813761,6.46704827920533,19.0801607154078,10.7352886016637
"522754","LOC120094166",9014,25.7480660286865,145.560028992423,10.662442353355,0.814786598545567,16.1323845984408,1.26040137957269,18.2921759624123,1.42816476510737,17.017185468749,1.32912893909676,0.548871693225256,0.632753385992597,0.583235472987292,9.84765575480946,14.8719832188681,16.864011197305,15.6880565296522
"505464","Sorl1",9015,15.8340918044822,40.8954380591695,5.21043207905345,0.665012055579903,5.45769921099039,0.689820047270506,17.6061610904048,2.22428909411227,9.17892245864995,1.15984678370842,0.218370542099018,0.985605065519901,0.453383910317976,4.54542002347355,4.76787916371989,15.3818719962925,8.01907567494153
