"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_ctrl","iod_nb_trt","cv2_nb_ctrl","cv2_nb_trt","diff_emp_ctrl","diff_emp_trt","diff_nb_ctrl","diff_nb_trt","gene_symbol"
"88016",0.00250508711512804,0.00839054764432244,21557,4429,4429,5.6,4.4,19.8,10.3,0.917610113159145,3.53571428571429,2.34090909090909,0.631377551020408,0.53202479338843,6.13861663369121,5.03748449790024,1.09618154173057,1.14488284043187,2.90433673469388,1.80888429752066,5.04243509196064,3.89260165746837,"Ncor1"
"170516",0.00837285787833916,0.00648949294561443,4430,8118,4430,4.6,1.4,38.3,3.8,2.56955995054434,8.32608695652174,2.71428571428571,1.81001890359168,1.93877551020408,12.8199757725039,4.59738393076207,2.78695125489216,3.28384566483005,6.51606805293006,0.775510204081633,10.0330245176118,1.31353826593202,"Mxd4"
"90929",0.0043459111438157,0.00839041272081365,13493,4430,4430,35,41.2,233.5,1390.7,0.168604720339745,6.67142857142857,33.754854368932,0.190612244897959,0.819292581770195,6.90116521189108,7.9465144779975,0.197176148911174,0.192876564999939,6.48081632653061,32.9355617871618,6.70398906297991,7.75363791299756,"Dhrs13"
"320568",0.00837124431559574,0.00531300637097918,4431,11195,4431,17.2,18.6,179.2,112.3,0.24740984309444,10.4186046511628,6.03763440860215,0.605732828555976,0.324604000462481,5.25544930122436,5.60182308155658,0.305549377978161,0.301173283954655,9.81287182260681,5.71303040813967,4.9498999232462,5.30064979760192,"LOC120098962"
"530796",0.00580090747555006,0.00838971625507407,9423,4431,4431,109.4,106.2,4570.3,10815.7,0.295703627160558,41.7760511882998,101.84274952919,0.381865184536561,0.958971276169399,33.3499768113651,32.4037252044513,0.304844394985055,0.305119823017432,41.3941860037633,100.883778253021,33.04513241638,32.0986053814338,"Cmtm8"
"205547",0.00837012594186407,0.00622130496494568,4432,8796,4432,38.8,34.8,919.7,1039.7,0.310701777846127,23.7036082474227,29.8764367816092,0.610917738335636,0.858518298322104,13.0552289804297,11.8124218690452,0.336474973722415,0.339437410030035,23.092690509087,29.0179184832871,12.7187540067073,11.4729844590152,"Gatad2a"
"483076",0.0049608181041536,0.00838907596857163,11454,4432,4432,300.6,355.2,21799.3,113643.2,0.200009591914764,72.5192947438456,319.941441441441,0.241248485508468,0.900736040094148,61.1228833295782,72.0434070481243,0.203336271888151,0.20282490723008,72.2780462583372,319.040705401347,60.9195470576901,71.8405821408943,"Mlc1"
"72326",0.00836827204037495,0.001908243545178,4433,22853,4433,17,15.6,130.5,38.3,0.212989264144775,7.67647058823529,2.4551282051282,0.451557093425606,0.157380013149244,4.62081749046118,4.3226325206585,0.27181279355654,0.27709182824734,7.22491349480969,2.29774819197896,4.34900469690464,4.04554069241116,"Pafah1b1"
"305241",0.00303753441951524,0.00838879372221337,19272,4433,4433,11.2,12.4,12.7,70.3,0.155007337470039,1.13392857142857,5.66935483870968,0.10124362244898,0.457206035379813,2.73608217966443,2.92209098462848,0.244293051755753,0.235652498760361,1.03268494897959,5.21214880332986,2.49178912790868,2.68643848586812,"Etnppl"
"129985",0.00836791614787046,0.0034522583365384,4434,16775,4434,180.6,137,31987.3,3061,0.224946447384903,177.116832779623,22.3430656934307,0.98071335979858,0.163088070754968,41.6253283977134,31.8176632917316,0.230483545945257,0.232245717457895,176.136119419825,22.1799776226757,41.3948448517681,31.5854175742738,"Tmem116"
"196968",0.000903824124097085,0.0083880301631735,28062,4434,4434,5.8,5.4,15.2,50.3,1.62719477578479,2.62068965517241,9.31481481481481,0.451843043995244,1.72496570644719,10.4377296995518,9.78685178923786,1.79960856888824,1.81237996096997,2.16884661117717,7.58984910836763,8.63812113066354,7.97447182826789,"Sugp1"
"17753",0.00836518452828747,0.00807997003962861,4435,4910,4435,48,43,1397.5,2162.5,0.597005872705226,29.1145833333333,50.2906976744186,0.606553819444444,1.16955110870741,29.6562818898508,26.6712525263247,0.617839206038559,0.620261686658714,28.5080295138889,49.1211465657112,29.0384426838123,26.050990839666,"-"
"27879",0.000531198095009093,0.00838745154899509,29089,4435,4435,13.6,16,17.3,193,0.187847018620894,1.27205882352941,12.0625,0.0935337370242215,0.75390625,3.55471945324416,4.0055522979343,0.2613764303856,0.250347018620894,1.17852508650519,11.30859375,3.29334302285856,3.75520527931341,"Ermp1"
"12059",0.00656772666644343,0.00838441203055879,7595,4436,4436,4.2,2.4,20.7,11.3,3.2401614836761,4.92857142857143,4.70833333333333,1.1734693877551,1.96180555555556,14.6086782314396,8.77638756082263,3.47825672177133,3.65682815034276,3.75510204081633,2.74652777777778,11.1304215096683,5.11955941047987,"Prmt3"
"117133",0.00836397529463664,0.00318606740366902,4437,17750,4437,21.8,26.8,279.7,170.7,0.193595696202284,12.8302752293578,6.36940298507463,0.588544735291642,0.237664290487859,5.2203861772098,6.18836465822122,0.239467255835312,0.230909129038105,12.2417304940662,6.13173869458677,4.98091892137449,5.95745552918312,"Sdf2l1"
"24252",0.00117799784822973,0.00838441203055879,27078,4437,4437,1.6,2.4,5.3,11.3,5.18672409929782,3.3125,4.70833333333333,2.0703125,1.96180555555556,9.29875855887652,13.4481378383148,5.81172409929782,5.60339076596449,1.2421875,2.74652777777778,3.4870344595787,7.84474707235029,"Mrgpre"
"374677",0.00836248783734815,2.45193019544804e-06,4438,30525,4438,8.2,5.4,28.2,7.3,0.209720961829427,3.4390243902439,1.35185185185185,0.419393218322427,0.250342935528121,2.7197118870013,2.13249319387891,0.331672181341622,0.394906147014613,3.01963117192148,1.10150891632373,2.38803970565968,1.7375870468643,"Foxp1"
