"feature_id","gene_symbol","rank","abs_loading","mu","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"80589","Cygb",21263,0.00236918129791496,164.4,0.0833938611042022,13.7099507655308,2.61812190243217,5.10230248262208,-2.48418058018991
"329928","Api5",21264,0.00236897002945325,19,0.0448602534758352,0.852344816040868,-0.159764120364315,2.94443897916644,-3.10420309953076
"140739","Hnrnpu",21265,0.00236859145346228,284,0.0365187774031416,10.3713327824922,2.33904553688493,5.64897423816121,-3.30992870127628
"148820","Slc9c2",21266,0.00236834581363653,6,0.188322449135997,1.12993469481598,0.122159838855972,1.79175946922805,-1.66959963037208
"536539","Cracdl",21267,0.00236804747767404,176.2,0.0162067173483534,2.85562359677987,1.04929024194718,5.17161971350208,-4.1223294715549
"219198","Larp4b",21268,0.00236793694685663,57,0.0476835089871191,2.71796001226579,0.999881603430067,4.04305126783455,-3.04316966440448
"76175","Itga3",21269,0.00236768450987344,13,0.18976341458673,2.46692438962749,0.902972188365535,2.56494935746154,-1.661977169096
"65395","Mlst8",21270,0.00236694203717733,16.8,0.365357073032239,6.13799882694162,1.81449876508342,2.82137888640921,-1.00688012132579
"9811","Tbcb",21271,0.00236640437534766,168.6,0.0886682706824947,14.9494704370686,2.70467587693965,5.12752904556775,-2.4228531686281
"321237","Tubb4b",21272,0.00236620102250988,1512,0.05120439548205,77.4210459688596,4.34925865537676,7.32118855673948,-2.97192990136272
"170278","Sorcs2",21273,0.00236613011135421,22,0.256735192653596,5.64817423837911,1.73133234928647,3.09104245335832,-1.35971010407184
"523787","Anp32a",21274,0.00236593233760823,86.6,0.0119859623764968,1.03798434180462,0.0372806996632723,4.46129981556839,-4.42401911590512
"313882","Gpr6",21275,0.00236585043379993,69.2,0.0708497368127361,4.90280178744134,1.58980683506042,4.23700086262362,-2.6471940275632
"330654","LOC100362814",21276,0.00236502538251622,69.2,0.198143363757456,13.711520772016,2.61823641171258,4.23700086262362,-1.61876445091104
"50604","Cckbr",21277,0.0023647726060477,108.4,0.0519348731931724,5.62974025413988,1.72806330505531,4.68582808900555,-2.95776478395024
"380079","Cfap94",21278,0.00236430847655456,7.8,1.02584706243992,8.00160708703137,2.07964240738389,2.05412373369555,0.0255186736883454
"206491","Clcn3",21279,0.00236419763679899,7,0.151029979290242,1.05720985503169,0.0556332255279451,1.94591014905531,-1.89027692352737
"136912","Cacna1e",21280,0.00236406052244728,4,0.656720624425811,2.62688249770325,0.965797781002339,1.38629436111989,-0.420496580117552
"471300","Txnrd1",21281,0.00236379198319478,44.6,0.149565814404163,6.67063532242569,1.89771510612995,3.79773385902602,-1.90001875289607
"76475","Npepps",21282,0.00236364658193264,22.8,0.21685986700778,4.94440496777739,1.59825662775908,3.1267605359604,-1.52850390820131
"281961","Hadh",21283,0.00236269280313539,43.6,0.0562101832079978,2.4507639878687,0.896399807730355,3.77505715035499,-2.87865734262463
"383288","Gtpbp10",21284,0.00236257083042348,4.4,0.878000007130787,3.86320003137546,1.35149586369882,1.48160454092422,-0.130108677225396
"566001","Mospd1",21285,0.00236257083042348,4.4,2.15866717463849,9.49813556840936,2.25109552338887,1.48160454092422,0.76949098246465
"80249","Caskin2",21286,0.00236226092686241,52,0.0108821560199018,0.565872113034894,-0.569387175010808,3.95124371858143,-4.52063089359224
"550389","Nbeal1",21287,0.00236202499170027,13.6,0.260369107928555,3.54101986782835,1.26441478390995,2.61006979274201,-1.34565500883206
"469520","Pip5k1c",21288,0.00236122838848383,257.6,0.0534405156709904,13.7662768368471,2.6222218939619,5.5514079942302,-2.9291861002683
"225594","Eci2",21289,0.00236030890776697,15.4,0.352150791538405,5.42312218969143,1.69067169935715,2.73436750941958,-1.04369581006243
"380579","Dennd5b",21290,0.00235946995943709,5.2,0.343986053639563,1.78872747892573,0.581504461411349,1.64865862558738,-1.06715416417603
"64969","Hmox2",21291,0.00235924510475433,110.6,0.0215574368780111,2.38425251870803,0.868885665870593,4.70592008908823,-3.83703442321764
"327757","Chn1",21292,0.00235885508456178,6.8,1.5250040387451,10.3700274634667,2.33891967059537,1.91692261218206,0.421997058413311
"514897","Klhdc8b",21293,0.0023587156280605,33.2,0.118675697923122,3.94003317104765,1.37118914232203,3.50254987592244,-2.13136073360041
"147771","Glul",21294,0.00235871240166538,71.4,0.176141168762093,12.5764794496134,2.53182835913424,4.26829786934554,-1.7364695102113
"108409","Cldn5",21295,0.00235845529667543,17.2,0.977705693583469,16.8165379296357,2.82236280277826,2.84490938381941,-0.0225465810411452
"144846","Dpp10",21296,0.00235834912031059,7.4,0.248361734195189,1.8378768330444,0.608611010286823,2.00148000021012,-1.3928689899233
"325779","Ermn",21297,0.00235794527483481,20.4,1e-08,2.04e-07,-15.4051458431022,3.01553490085017,-18.4206807439524
"42403","Ca11",21298,0.00235792405346985,37.8,0.0121088386724617,0.457714101819054,-0.78151052161789,3.63230910262554,-4.41381962424343
"73518","Atad5",21299,0.00235780830772359,2.2,3.0582464656449,6.72814222441878,1.90629906162956,0.78845736036427,1.11784170126529
"77581","Ptges3l",21300,0.00235780830772359,2.2,4.77181328502584,10.4979892270569,2.35118373663953,0.78845736036427,1.56272637627526
"249046","-",21301,0.00235780830772359,2.2,0.531750988466848,1.16985217462706,0.156877394354683,0.78845736036427,-0.631579966009588
"478525","-",21302,0.00235780830772359,2.2,3.2367988304641,7.12095742702102,1.96304218647081,0.78845736036427,1.17458482610654
"502045","Endod1",21303,0.00235780830772359,2.2,2.87269995303306,6.31993989667273,1.84370969809341,0.78845736036427,1.05525233772914
"516538","Zfp445",21304,0.00235780830772359,2.2,0.798532356044238,1.75677118329732,0.563477569248479,0.78845736036427,-0.224979791115792
"527901","PCOLCE2",21305,0.00235780830772359,2.2,0.626809147033796,1.37898012347435,0.321344184983103,0.78845736036427,-0.467113175381167
"16703","Mrpl46",21306,0.00235721602404016,100.6,0.0707503955000469,7.11748978730472,1.96255510529789,4.61115225766564,-2.64859715236774
"11806","Sergef",21307,0.00235701561497496,144,0.0138486611241837,1.99420720188245,0.69024657882036,4.969813299576,-4.27956672075564
"52446","Dctn5",21308,0.00235689986038202,22.2,0.0385778976192153,0.85642932714658,-0.154983478169876,3.10009228887823,-3.25507576704811
"211906","Csmd1",21309,0.00235604675267011,3,2.37564072060937,7.1269221618281,1.9638794668701,1.09861228866811,0.865267178201988
"91135","Poldip2",21310,0.00235568496636999,6.2,0.068662478390498,0.425707366021087,-0.854003102982985,1.82454929205105,-2.67855239503403
"120465","Rhbdd2",21311,0.00235545544166272,35.4,0.296104042947891,10.4820831203553,2.34966743016683,3.56671182013973,-1.2170443899729
"368112","Chrm2",21312,0.0023553996207496,7,0.212767070471759,1.48936949330231,0.398352871542884,1.94591014905531,-1.54755727751243
"165079","Grsf1",21313,0.0023553706403872,14,0.046796204832177,0.655146867650478,-0.42289584306107,2.63905732961526,-3.06195317267633
"556839","Usp11",21314,0.00235532417889232,119.6,0.0224758792435657,2.68811515753046,0.988840263086416,4.78415284151653,-3.79531257843012
"76280","Ube2z",21315,0.00235506345210131,5.8,0.768533920009184,4.45749673605326,1.49458733851782,1.75785791755237,-0.263270579034552
"567172","Irak1",21316,0.00235474534352096,18.6,0.0369681179533843,0.687606993932948,-0.374537834011286,2.92316158071916,-3.29769941473044
"567504","Ndufb11",21317,0.00235443811056258,330.4,0.114880226415757,37.9564268077662,3.63643883885191,5.80030404164682,-2.16386520279491
"112102","Get1",21318,0.00235392905605581,7.6,0.639272555639403,4.85847142285947,1.58072386639459,2.02814824729229,-0.447424380897693
"235190","Lars1",21319,0.00235385553336109,8.8,0.21157365648017,1.86184817702549,0.621569637950213,2.17475172148416,-1.55318208353395
"62167","Acsl5",21320,0.00235384783932064,28.4,0.126392038797967,3.58953390186226,1.27802236172089,3.34638914516716,-2.06836678344627
"516422","Higd1a",21321,0.00235345723219983,73,0.119543109655702,8.72664700486626,2.16638121874001,4.29045944114839,-2.12407822240838
"422112","Clvs1",21322,0.00235334494990295,5.8,0.627779256164368,3.64111968575333,1.29229124032382,1.75785791755237,-0.465566677228553
"79424","LOC120095200",21323,0.00235314668707372,2,10,20,2.99573227355399,0.693147180559945,2.30258509299405
"120149","Vgf",21324,0.00235314668707372,2,5.4836975336862,10.9673950673724,2.39492678641478,0.693147180559945,1.70177960585483
"325243","-",21325,0.00235314668707372,2,1.91934030484929,3.83868060969859,1.34512871633432,0.693147180559945,0.651981535774375
"497886","Prr5",21326,0.00235314668707372,2,2.78840250450213,5.57680500900427,1.71861603337575,0.693147180559945,1.02546885281581
"517038","LOC102556477",21327,0.00235314668707372,2,7.51290084002389,15.0258016800478,2.70976883540704,0.693147180559945,2.01662165484709
"520607","-",21328,0.00235185968632418,6.6,2.05015375251487,13.5310147665982,2.60498444059701,1.88706964903238,0.717914791564633
"559049","Gpm6b",21329,0.00235160550060374,11.6,0.298476991389694,3.46233310012045,1.24194266822042,2.45100509811232,-1.2090624298919
"423827","Ube2j1",21330,0.00235137669919767,4.8,2.15190457141328,10.3291419427838,2.33496921509134,1.56861591791385,0.766353297177498
"517431","Maml2",21331,0.00235117787174398,8.4,0.296756944032778,2.49275832987534,0.913389860362076,2.12823170584927,-1.21484184548719
"27850","Plgrkt",21332,0.00235113381736622,11.4,0.201711354594707,2.29950944237966,0.832695814264541,2.43361335540045,-1.60091754113591
"316361","Zfand3",21333,0.00235085830201785,4.8,0.961173464594309,4.61363263005268,1.52901553587353,1.56861591791385,-0.0396003820403116
"422177","MGC94199",21334,0.00235075753448887,64.2,0.104713894969904,6.72263205706783,1.90547975300927,4.16200321069592,-2.25652345768665
"36621","Mas1",21335,0.00235017365099999,3,1.05217775077774,3.15653325233322,1.14947435332834,1.09861228866811,0.0508620646602283
"410137","Nfib",21336,0.00235017365099999,3,0.401678065087794,1.20503419526338,0.18650794435191,1.09861228866811,-0.9121043443162
"178305","Bnip3l",21337,0.00234985843549076,177.6,0.0180502038480766,3.2057162034184,1.1649355298133,5.17953383055807,-4.01459830074477
"48125","Rab30",21338,0.00234949400476659,6.8,0.591221000793242,4.02030280539405,1.39135722451905,1.91692261218206,-0.525565387663009
"436210","Emc1",21339,0.00234863776444441,16.4,0.795770017024991,13.0506282792099,2.56883627661057,2.79728133483015,-0.22844505821958
"531945","Zkscan7",21340,0.00234861077866511,11,0.0718382842417282,0.79022112665901,-0.235442465524467,2.39789527279837,-2.63333773832284
"31016","Vti1a",21341,0.00234817493300346,2.8,1.27077309754917,3.55816467313769,1.2692448706734,1.02961941718116,0.239625453492238
"112142","Pcp4",21342,0.00234817493300346,2.8,0.418617760571878,1.17212972960126,0.158822375815105,1.02961941718116,-0.870797041366054
"336057","Psmf1",21343,0.00234817493300346,2.8,2.35702296689662,6.59966430731054,1.88701878521013,1.02961941718116,0.857399368028973
"436673","Lrrc38",21344,0.00234817493300346,2.8,0.906201152720989,2.53736322761877,0.93112544246942,1.02961941718116,-0.0984939747117386
"552380","Retreg2",21345,0.00234788776850459,373.6,0.0827125347581699,30.9014029856523,3.43080158693938,5.92318570635469,-2.4923841194153
"251248","Gpt2",21346,0.00234787163969103,12.8,0.47184571818462,6.03962519276314,1.79834195584299,2.54944517092557,-0.751103215082577
"496305","Ppp1r16a",21347,0.00234720426394027,41.6,0.133430689800751,5.55071669571124,1.7139270537836,3.72810016726722,-2.01417311348361
"303518","Ntng1",21348,0.00234709194554655,3.4,0.526451509336612,1.78993513174448,0.582179379947112,1.22377543162212,-0.641596051675004
"312219","Herc4",21349,0.00234687809776043,3.6,1.37608247215081,4.95389689974292,1.60017451933323,1.28093384546206,0.319240673871165
"415165","LOC102552961",21350,0.00234686745275275,15.8,1e-08,1.58e-07,-15.6606708039194,2.76000994003292,-18.4206807439524
"263709","Cox7c",21351,0.00234681403225197,56.4,0.20238944445279,11.4147646671373,2.43490766366213,4.03246915850401,-1.59756149484188
"369634","LOC100910678",21352,0.00234660483831072,492.2,0.0687705777312026,33.8488783592979,3.52190586319032,6.19888513795696,-2.67697927476664
"401086","-",21353,0.0023464921438424,3.8,6.86511609884473,26.08744117561,3.2614540175128,1.33500106673234,1.92645295078046
"416153","Fam110d",21354,0.00234641153384665,40.8,0.116570484295038,4.75607575923755,1.55942290789375,3.70868208141012,-2.14925917351636
"49537","Map6",21355,0.00234580857779119,6.6,0.429610510463312,2.83542936905786,1.04219337864234,1.88706964903238,-0.844876270390039
"37989","Leng1",21356,0.0023457328387131,2.6,0.225092741902016,0.585241128945241,-0.535731330444508,0.955511445027436,-1.49124277547194
"277926","Rprd2",21357,0.0023457328387131,2.6,1.6170222700557,4.20425790214483,1.43609779798007,0.955511445027436,0.480586352952637
"371788","Ctnna2",21358,0.0023457328387131,2.6,0.385892589566994,1.00332073287419,0.00331523141665757,0.955511445027436,-0.952196213610779
"475520","-",21359,0.0023457328387131,2.6,3.46823104566468,9.01740071872818,2.19915612389055,0.955511445027436,1.24364467886312
"22121","Maz",21360,0.00234561556412932,253.4,0.110658333647929,28.0408217463852,3.33366136795613,5.53496926788704,-2.20130789993091
"488923","-",21361,0.00234552376731305,13.2,0.0200894221531164,0.265180372421136,-1.32734503388771,2.58021682959233,-3.90756186348004
"189406","Egr3",21362,0.00234536700707667,13.8,0.109181680585364,1.50670719207803,0.409926602211222,2.62466859216316,-2.21474198995194
"375529","Oxtr",21363,0.00234515502305082,3.6,2.42535360194052,8.73127296698587,2.16691117445471,1.28093384546206,0.885977328992643
"415158","Sync",21364,0.00234515502305082,3.6,3.54638304225935,12.7669789521337,2.54686206822196,1.28093384546206,1.2659282227599
"80026","-",21365,0.00234477657371716,2.4,3.39087024498692,8.1380885879686,2.0965553352377,0.8754687373539,1.2210865978838
"151777","Ptpn14",21366,0.00234477657371716,1.6,10,16,2.77258872223978,0.470003629245736,2.30258509299405
"216118","Pak1ip1",21367,0.00234477657371716,1.6,3.03000071545602,4.84800114472963,1.57856648489108,0.470003629245736,1.10856285564535
"308391","RT1-N2",21368,0.00234477657371716,1.6,4.6707828274614,7.47325252393823,2.01133031588509,0.470003629245736,1.54132668663936
